timestamps,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close,close_error,absolute_error,percentage_error,open_error,high_error,low_error,horizon,rolling_mae,normalized_error
2021-12-30,1107.599609375,1109.884033203125,1082.4940185546875,1088.7242431640625,738.52826,734.4757,743.8088,736.9131,-351.8111572265625,351.8111572265625,32.314073966436624,-369.07135009765625,-375.4083251953125,-338.68524169921875,247,423.96168518066406,0.32314073966436624
2021-12-31,1095.13916015625,1100.16943359375,1089.1396484375,1092.90087890625,732.93774,720.18164,729.56006,719.3989,-373.501953125,373.501953125,34.175281613717075,-362.201416015625,-379.98779296875,-359.57958984375,248,415.82066040039064,0.3417528161371708
2022-01-03,1091.4471435546875,1111.2685546875,1090.7779541015625,1109.3763427734375,720.7175,713.73596,722.1986,715.8252,-393.5511474609375,393.5511474609375,35.47499007208508,-370.7296142578125,-397.5325927734375,-368.579345703125,249,410.41749877929686,0.3547499007208508
2022-01-04,1114.9375,1135.7510986328125,1109.445556640625,1134.4127197265625,716.6677,707.145,724.05035,717.14923,-417.26348876953125,417.26348876953125,36.78233516899457,-398.269775390625,-428.6060791015625,-385.39520263671875,250,405.90973510742185,0.36782335168994573
2022-01-05,1136.212646484375,1143.1351318359375,1122.8060302734375,1139.719970703125,710.75287,707.33215,720.71533,715.627,-424.09295654296875,424.09295654296875,37.21027686137096,-425.45977783203125,-435.802978515625,-402.0906982421875,251,402.54632568359375,0.37210276861370956
2022-01-06,1131.2283935546875,1132.5206298828125,1111.7530517578125,1115.21435546875,717.2874,708.4299,720.3997,719.0471,-396.167236328125,396.167236328125,35.52386448268117,-413.94097900390625,-424.09075927734375,-391.35333251953125,252,397.3118927001953,0.35523864482681167
2022-01-07,1121.883056640625,1134.3896484375,1112.929931640625,1124.213623046875,724.19275,718.44116,731.8088,726.71826,-397.495361328125,397.495361328125,35.357636055932325,-397.6903076171875,-415.948486328125,-381.12115478515625,253,392.48496704101564,0.35357636055932323
2022-01-10,1131.59765625,1133.9051513671875,1115.0067138671875,1125.1365966796875,725.37885,772.1488,723.7963,722.76,-402.3765869140625,402.3765869140625,35.76246547321348,-406.21881103515625,-361.75634765625,-391.21038818359375,254,390.53208618164064,0.35762465473213484
2022-01-11,1124.213623046875,1142.18896484375,1123.7520751953125,1133.2359619140625,811.12744,807.3916,706.6265,741.32104,-391.9149169921875,391.9149169921875,34.58369926155837,-313.086181640625,-334.79736328125,-417.12554931640625,255,391.2060852050781,0.3458369926155837
2022-01-12,1140.5045166015625,1165.2640380859375,1137.5970458984375,1163.4871826171875,740.02106,741.84015,742.2455,751.5785,-411.90869140625,411.90869140625,35.40294191120255,-400.48345947265625,-423.42388916015625,-395.3515625,256,392.41297607421876,0.35402941911202546
