timestamp,pred_open,pred_high,pred_low,pred_close,pred_volume,amount,actual_open,actual_high,actual_low,actual_close,close_error,absolute_error,squared_error
2023-08-25,17697.219,17747.412,17669.77,17744.277,248173.94,4.3111685e+09,19297.400390625,19339.55078125,19229.69921875,19265.80078125,-1521.5234375,1521.5234375,2315033.5708618164
2023-08-28,17718.36,17948.314,17742.205,17864.094,305506.34,5.281754e+09,19298.349609375,19366.849609375,19249.69921875,19306.05078125,-1441.95703125,1441.95703125,2079240.0799713135
2023-08-29,17904.424,17975.764,17856.12,17957.797,261342.25,4.5288714e+09,19374.849609375,19377.900390625,19309.099609375,19342.650390625,-1384.853515625,1384.853515625,1917819.2597389221
2023-08-30,17881.36,17938.996,17856.203,17976.71,284302.6,4.9224607e+09,19433.44921875,19452.80078125,19334.75,19347.44921875,-1370.73828125,1370.73828125,1878923.435684204
2023-08-31,17925.172,18153.775,17923.732,18074.488,247089.66,4.3050583e+09,19375.55078125,19388.19921875,19223.650390625,19253.80078125,-1179.3125,1179.3125,1390777.97265625
2023-09-01,17875.098,17795.953,17569.996,17587.773,243965.62,4.255336e+09,19258.150390625,19458.55078125,19255.69921875,19435.30078125,-1847.52734375,1847.52734375,3413357.2859039307
2023-09-04,17740.168,17941.56,17667.58,17701.424,245604.44,4.273231e+09,19525.05078125,19545.150390625,19432.849609375,19528.80078125,-1827.376953125,1827.376953125,3339306.5288124084
2023-09-05,17707.584,17794.125,17691.42,17805.203,269289.94,4.6668426e+09,19564.650390625,19587.05078125,19525.75,19574.900390625,-1769.697265625,1769.697265625,3131828.411960602
2023-09-06,17749.74,17728.629,17612.326,17646.969,249366.16,4.3309583e+09,19581.19921875,19636.44921875,19491.5,19611.05078125,-1964.08203125,1964.08203125,3857618.225479126
2023-09-07,17689.908,17777.406,17699.428,17828.64,243520.56,4.2307039e+09,19598.650390625,19737.0,19550.05078125,19727.05078125,-1898.41015625,1898.41015625,3603961.1213531494
2023-09-08,17910.5,18109.82,17849.715,17888.855,251741.69,4.3806623e+09,19774.80078125,19867.150390625,19727.05078125,19819.94921875,-1931.09375,1931.09375,3729123.0712890625
2023-09-11,17737.137,18158.898,17501.162,17700.812,273368.34,4.7054874e+09,19890.0,20008.150390625,19865.349609375,19996.349609375,-2295.537109375,2295.537109375,5269490.620517731
2023-09-12,17764.646,18052.951,17186.74,17610.361,246043.05,4.321872e+09,20110.150390625,20110.349609375,19914.650390625,19993.19921875,-2382.837890625,2382.837890625,5677916.412998199
2023-09-13,17508.158,17592.658,17272.844,17328.58,270087.66,4.708603e+09,19989.5,20096.900390625,19944.099609375,20070.0,-2741.419921875,2741.419921875,7515383.188053131
2023-09-14,17192.434,17798.467,17084.21,17583.705,254495.16,4.451433e+09,20127.94921875,20167.650390625,20043.44921875,20103.099609375,-2519.39453125,2519.39453125,6347348.804092407
2023-09-15,17387.611,17423.527,16877.71,17407.094,271804.53,4.7315717e+09,20156.44921875,20222.44921875,20129.69921875,20192.349609375,-2785.255859375,2785.255859375,7757650.20218277
2023-09-18,17501.252,17416.924,17406.344,17391.064,191871.16,3.4354683e+09,20155.94921875,20195.349609375,20115.69921875,20133.30078125,-2742.236328125,2742.236328125,7519860.079288483
2023-09-20,17462.027,17473.988,17385.559,17431.262,240039.08,4.199e+09,19980.75,20050.650390625,19878.849609375,19901.400390625,-2470.138671875,2470.138671875,6101585.058292389
2023-09-21,17238.977,17776.35,16965.86,17585.314,339174.62,5.8064717e+09,19840.55078125,19848.75,19709.94921875,19742.349609375,-2157.03515625,2157.03515625,4652800.665298462
2023-09-22,17560.697,17678.488,17479.318,17672.61,297391.97,5.0929664e+09,19744.849609375,19798.650390625,19657.5,19674.25,-2001.640625,2001.640625,4006565.1916503906
2023-09-25,17293.266,17647.484,17493.408,17635.002,286438.56,4.928267e+09,19678.19921875,19734.150390625,19601.55078125,19674.55078125,-2039.548828125,2039.548828125,4159759.422306061
2023-09-26,17591.027,17692.406,17596.924,17746.107,244351.56,4.2611302e+09,19682.80078125,19699.349609375,19637.44921875,19664.69921875,-1918.591796875,1918.591796875,3680994.4830360413
2023-09-27,17135.695,17464.664,17034.75,17402.086,309664.2,5.269195e+09,19637.05078125,19730.69921875,19554.0,19716.44921875,-2314.36328125,2314.36328125,5356277.397598267
2023-09-28,17263.074,17704.105,17165.701,17453.25,286824.47,5.0051983e+09,19761.80078125,19766.650390625,19492.099609375,19523.55078125,-2070.30078125,2070.30078125,4286145.32484436
2023-09-29,17159.82,17215.115,16972.262,17222.664,264182.28,4.591377e+09,19581.19921875,19726.25,19551.05078125,19638.30078125,-2415.63671875,2415.63671875,5835300.756973267
2023-10-03,17348.393,17533.03,17325.418,17206.83,244809.7,4.2715566e+09,19622.400390625,19623.19921875,19479.650390625,19528.75,-2321.919921875,2321.919921875,5391312.123600006
2023-10-04,17285.025,17691.357,17223.46,17129.627,292219.78,5.008214e+09,19446.30078125,19457.80078125,19333.599609375,19436.099609375,-2306.47265625,2306.47265625,5319816.114028931
2023-10-05,17158.668,17650.031,17104.014,17382.717,288181.9,5.0335124e+09,19521.849609375,19576.94921875,19487.30078125,19545.75,-2163.033203125,2163.033203125,4678712.6378211975
2023-10-06,17163.832,17321.53,16918.643,17093.348,523936.7,8.181287e+09,19621.19921875,19675.75,19589.400390625,19653.5,-2560.15234375,2560.15234375,6554380.023208618
2023-10-09,16489.78,16563.543,16279.208,16363.185,382040.66,6.376974e+09,19539.44921875,19588.94921875,19480.5,19512.349609375,-3149.1650390625,3149.1650390625,9917240.443253517
